
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     10     2.05       7.20       0.00    3756   0 sqlwriter
     46    57.68     109.20       2.94    7604   2 StartMenuExperienc…
     31    15.09      35.00       0.00    1176   0 svchost
     20     8.96      15.81       0.00    1276   0 svchost
     73    46.21      87.32       0.00    1524   0 svchost
     46    20.67      36.29       0.00    1532   0 svchost
     49     3.41      10.64       0.00    1608   0 svchost
    129    17.48      43.29       0.00    1616   0 svchost
     25    21.42      29.74       0.00    1656   0 svchost
     20     8.19      15.98       0.00    1780   0 svchost
     11     2.38       9.95       0.00    1952   0 svchost
     16     4.46       9.38       0.00    2108   0 svchost
     22    17.01      24.69       0.00    2360   0 svchost
     30     5.27      18.51       0.00    2456   0 svchost
     14     4.50      14.68       0.00    2784   0 svchost
     11    16.93      20.48       0.00    2904   0 svchost
      9     1.72       6.26       0.00    2992   0 svchost
     13     2.96       9.62       0.00    3000   0 svchost
     34    14.46      14.89       0.00    3176   0 svchost
     26     7.70      18.17       0.00    3200   0 svchost
     11     1.92       7.07       0.00    3440   0 svchost
     12     4.02       8.36       0.00    3604   0 svchost
     15     4.95       9.12       0.00    3684   0 svchost
     30     9.87      16.24       0.00    3716   0 svchost
     10     1.78       9.04       0.05    5536   2 svchost
     10     1.99       8.89       0.08    5604   2 svchost
     10     1.62       6.78       0.00    6044   0 svchost
     16     4.70      18.51       0.00    7428   0 svchost
     22     7.45      31.31       0.56    7756   2 svchost
     39    17.74      48.94       3.69    8788   2 svchost
      8     1.25       6.21       0.02   10136   2 svchost
     22     8.75      28.95       0.00   11572   0 svchost
     15     3.84      14.45       0.00   11756   0 svchost
    186     2.84       7.53       0.00   13664   0 svchost
     11     2.52      13.02       0.03   13888   2 svchost
     19     5.20      16.98       0.00   14280   0 svchost
     13     3.04       9.77       0.00   14444   0 svchost
     10     2.13       9.75       0.02   16220   2 svchost
      9     1.64       9.56       0.02   19584   2 svchost
      0     0.08      13.38       0.00       4   0 System
     75   114.98       5.27       0.75   15524   2 SystemSettings
     37     7.77      19.63       0.38   17680   2 taskhostw
     82    80.73      98.92       1.84    7184   2 TextInputHost
     10     1.99       9.64       0.00   20752   2 UserOOBEBroker
     47    37.76      37.75       1.00   18036   2 WhatsApp
     36    11.39      51.61       0.62   13520   2 Widgets
     18     4.82      22.20       0.27   13688   2 WidgetService
     12     1.55       6.40       0.00     852   0 wininit
     14     2.70      12.10       0.00    3276   2 winlogon
      8     1.32       6.43       0.00    8920   0 wlanext
     19     5.20      18.55       0.00    3788   0 wslservice

